"Step","bright-shape-26 - val/accuracy/dataloader_idx_1","bright-shape-26 - val/accuracy/dataloader_idx_1__MIN","bright-shape-26 - val/accuracy/dataloader_idx_1__MAX","swept-valley-27 - val/accuracy/dataloader_idx_1","swept-valley-27 - val/accuracy/dataloader_idx_1__MIN","swept-valley-27 - val/accuracy/dataloader_idx_1__MAX"
"351","0.7822265625","0.7822265625","0.7822265625","0.7314453125","0.7314453125","0.7314453125"
"704","0.77734375","0.77734375","0.77734375","0.734375","0.734375","0.734375"
"1056","0.763671875","0.763671875","0.763671875","0.7998046875","0.7998046875","0.7998046875"
"1409","0.7802734375","0.7802734375","0.7802734375","0.7099609375","0.7099609375","0.7099609375"
"1762","0.8076171875","0.8076171875","0.8076171875","0.7861328125","0.7861328125","0.7861328125"
"2114","0.8017578125","0.8017578125","0.8017578125","0.6943359375","0.6943359375","0.6943359375"
"2467","0.84375","0.84375","0.84375","0.734375","0.734375","0.734375"
"2819","0.83984375","0.83984375","0.83984375","0.7099609375","0.7099609375","0.7099609375"
"3172","0.8525390625","0.8525390625","0.8525390625","0.6923828125","0.6923828125","0.6923828125"
"3525","0.869140625","0.869140625","0.869140625","0.7333984375","0.7333984375","0.7333984375"
"3877","0.857421875","0.857421875","0.857421875","0.734375","0.734375","0.734375"
"4230","0.861328125","0.861328125","0.861328125","0.74609375","0.74609375","0.74609375"
"4582","0.8701171875","0.8701171875","0.8701171875","0.775390625","0.775390625","0.775390625"
"4935","0.87890625","0.87890625","0.87890625","0.783203125","0.783203125","0.783203125"
"5288","0.8779296875","0.8779296875","0.8779296875","0.830078125","0.830078125","0.830078125"
"5640","0.8798828125","0.8798828125","0.8798828125","0.8291015625","0.8291015625","0.8291015625"
"5993","0.8818359375","0.8818359375","0.8818359375","0.82421875","0.82421875","0.82421875"
"6345","0.884765625","0.884765625","0.884765625","0.8134765625","0.8134765625","0.8134765625"
"6698","0.892578125","0.892578125","0.892578125","0.8251953125","0.8251953125","0.8251953125"
"7051","0.88671875","0.88671875","0.88671875","0.822265625","0.822265625","0.822265625"
"7403","0.8896484375","0.8896484375","0.8896484375","0.82421875","0.82421875","0.82421875"
"7756","0.8916015625","0.8916015625","0.8916015625","0.8203125","0.8203125","0.8203125"
"8108","0.89453125","0.89453125","0.89453125","0.8369140625","0.8369140625","0.8369140625"
"8461","0.884765625","0.884765625","0.884765625","0.8388671875","0.8388671875","0.8388671875"
"8814","0.890625","0.890625","0.890625","0.83984375","0.83984375","0.83984375"
"9166","0.892578125","0.892578125","0.892578125","0.845703125","0.845703125","0.845703125"
